SID,PC1,PC2,chr
SRR4292204.bam,-0.110672,0.0310965,7
SRR4292205.bam,-0.106309,-0.00102115,7
SRR4292207.bam,-0.102621,0.159474,7
SRR4292208.bam,0.18543,0.292766,7
SRR4292209.bam,-0.115414,0.0647757,7
SRR4292210.bam,0.186048,0.0999171,7
SRR4292211.bam,0.182064,0.1287,7
SRR4292212.bam,-0.103688,-0.036825,7
SRR4292213.bam,-0.100539,-0.0838677,7
SRR4292214.bam,-0.103103,-0.108151,7
SRR4292215.bam,0.210129,-0.207869,7
SRR4292216.bam,-0.0990998,-0.102406,7
SRR4292217.bam,-0.0991308,0.00322774,7
SRR4292218.bam,-0.101653,-0.143945,7
SRR4292219.bam,0.217841,-0.207385,7
SRR4292220.bam,-0.0990935,-0.0843062,7
SRR4292221.bam,-0.108898,-0.0310261,7
SRR4292222.bam,-0.0822913,-0.16204,7
SRR4292223.bam,0.187259,0.00732036,7
SRR4292224.bam,-0.117927,0.0735596,7
SRR4292225.bam,0.215442,-0.215446,7
SRR4292226.bam,-0.10809,-0.0169661,7
SRR4292227.bam,0.186418,0.0750453,7
SRR4292228.bam,0.17745,0.309757,7
SRR4292229.bam,-0.11117,0.0275511,7
SRR4292230.bam,0.184782,0.0745573,7
SRR4292182.bam,0.131937,0.308085,8
SRR4292183.bam,0.103834,0.271395,8
SRR4292184.bam,0.17731,-0.118263,8
SRR4292185.bam,-0.00280121,0.194115,8
SRR4292186.bam,-0.0940289,-0.0561778,8
SRR4292187.bam,0.0506369,-0.145657,8
SRR4292188.bam,0.0627715,-0.218569,8
SRR4292189.bam,-0.0819788,0.105438,8
SRR4292190.bam,0.0488283,-0.217281,8
SRR4292191.bam,0.161987,-0.0953387,8
SRR4292192.bam,-0.0835644,-0.0516294,8
SRR4292193.bam,0.0794585,-0.193077,8
SRR4292194.bam,-0.29321,-0.0695309,8
SRR4292195.bam,0.180976,-0.143822,8
SRR4292196.bam,-0.246001,-0.0706344,8
SRR4292197.bam,0.15088,0.0583989,8
SRR4292198.bam,0.17419,-0.109067,8
SRR4292199.bam,0.150412,0.0878211,8
SRR4292200.bam,-0.185962,-0.0655438,8
SRR4292201.bam,0.125291,0.289054,8
SRR4292202.bam,-0.128735,-0.0563089,8
SRR4292203.bam,-0.0836826,-0.101298,8
SRR4292204.bam,-0.00844643,0.164074,8
SRR4292205.bam,-0.155326,0.147528,8
SRR4292207.bam,-0.0933444,0.124872,8
SRR4292208.bam,-0.299366,-0.072709,8
SRR4292209.bam,-0.00734896,0.203155,8
SRR4292210.bam,-0.384445,0.00503529,8
SRR4292211.bam,0.168349,-0.0926203,8
SRR4292212.bam,-0.006994,0.183845,8
SRR4292213.bam,-0.0738984,-0.0513294,8
SRR4292214.bam,0.0685772,0.108079,8
SRR4292215.bam,0.16473,-0.113501,8
SRR4292216.bam,-0.245053,-0.0704872,8
SRR4292217.bam,0.169341,-0.103099,8
SRR4292218.bam,0.0326845,0.0124673,8
SRR4292219.bam,0.1704,-0.131315,8
SRR4292220.bam,-0.0762614,-0.0524431,8
SRR4292221.bam,0.151103,0.0606089,8
SRR4292222.bam,0.0608809,-0.162409,8
SRR4292223.bam,-0.0631557,0.102977,8
SRR4292224.bam,0.0825446,-0.206372,8
SRR4292225.bam,0.0560477,-0.197553,8
SRR4292226.bam,-0.00364102,0.209371,8
SRR4292227.bam,0.0482166,0.173554,8
SRR4292228.bam,-0.0827449,-0.0985942,8
SRR4292229.bam,-0.123572,0.0506434,8
SRR4292230.bam,0.147962,0.144046,8
SRR4292182.bam,0.020492,0.0795876,9
SRR4292183.bam,0.0125053,-0.0546553,9
SRR4292184.bam,-0.242709,-0.0998927,9
SRR4292185.bam,0.0197907,0.0474687,9
SRR4292186.bam,0.0630963,-0.0969866,9
SRR4292187.bam,0.0890393,0.21173,9
SRR4292188.bam,0.19276,-0.000494575,9
SRR4292189.bam,0.0117614,-0.0928979,9
SRR4292190.bam,0.097497,0.148354,9
SRR4292191.bam,-0.043681,0.221471,9
SRR4292192.bam,0.0390271,-0.0985694,9
SRR4292193.bam,0.103768,0.0823595,9
SRR4292194.bam,-0.242182,-0.0957405,9
SRR4292195.bam,0.0716821,-0.0211149,9
SRR4292196.bam,0.144189,-0.157207,9
SRR4292197.bam,0.219424,-0.0783111,9
SRR4292198.bam,0.186586,-0.0740545,9
