Results of differential gene expression analysis for cricket responses to larval infestation. Positional information for genes is given in 'Infestation_annotation' tab,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
2206.810182,-0.283408028,0.209623404,-1.351986573,0.176379611,0.502886218,TOC.1T.00115
110.3594943,0.46650426,0.368853095,1.264742702,0.205963577,0.540639231,TOC.1T.00118
83.53941247,0.111920776,0.257867914,0.434023661,0.664271259,0.878484324,TOC.1T.00119
272.2964908,0.453224913,0.18261342,2.481881736,0.013069064,0.110553868,TOC.1T.00121
130.8971264,-0.076650874,0.177637291,-0.431502155,0.666103286,0.879720116,TOC.1T.00122
4750.54815,0.118481726,0.11965494,0.990195021,0.322078806,0.661773958,TOC.1T.00120
1.84906015,2.638768887,3.67150658,0.718715555,0.472316197,NA,TOC.1T.00123
48.16357179,0.258643042,0.253320522,1.021011011,0.307249222,0.649009234,TOC.1T.00126
116.2515855,0.462066225,0.326639392,1.414606553,0.157183886,0.477443379,TOC.1T.00124
78.50882851,0.669400127,0.349829346,1.913504784,0.055683462,0.271677114,TOC.1T.00127
11.66483527,0.018911628,0.431167425,0.043861449,0.965014845,0.991720064,TOC.1T.00128
202.4876725,0.521449018,0.126962676,4.10710481,4.01E-05,0.001342929,TOC.1T.00130
0,NA,NA,NA,NA,NA,TOC.1T.00132
144.0825947,0.128537148,0.279587738,0.459738144,0.645704187,0.869838385,TOC.1T.00129
39.2859573,1.597810633,0.819661127,1.949355141,0.051253028,0.258107344,TOC.1T.00131
0,NA,NA,NA,NA,NA,TOC.1T.00133
31.2269924,-0.541701742,0.798261046,-0.67860225,0.497389917,0.790880126,TOC.1T.00137
1.712912087,-1.961674959,1.790886091,-1.095365567,0.273356513,NA,TOC.1T.00138
67.24218702,0.107500658,0.23102108,0.465328351,0.641696335,0.867877571,TOC.1T.00136
10.27196781,-1.668752972,1.468928423,-1.136034231,0.255942238,0.597062724,TOC.1T.00144
68.31560939,-0.189843959,0.617028593,-0.307674493,0.758330031,0.921406942,TOC.1T.00140
276.1321518,0.100273011,0.138501852,0.723983173,0.469076066,0.775478946,TOC.1T.00134
178.0920133,0.203097981,0.17246793,1.177598536,0.238956694,0.578112667,TOC.1T.00147
978.9222463,0.191898193,0.161412795,1.18886606,0.234492378,0.5723652,TOC.1T.00148
64.94469417,0.432373986,0.188082988,2.298846857,0.021513637,0.149934018,TOC.1T.00152
203.4546244,0.573953625,0.136218764,4.213469636,2.51E-05,0.000909117,TOC.1T.00153
41.74894448,1.063485628,0.431227477,2.466182432,0.013656176,0.113298822,TOC.1T.00154
9.727846727,0.918309333,0.477946275,1.921365187,0.054685684,0.268588447,TOC.1T.00160
132.7753599,0.026377229,0.199777549,0.132033,0.89495819,0.969103244,TOC.1T.00157
95.54742493,0.013433063,0.175262221,0.076645515,0.93890555,0.983314238,TOC.1T.00163
21.4000877,2.05279103,1.582398026,1.29726592,0.194539706,0.526461763,TOC.1T.00161
211.1594977,-0.247263566,0.166356986,-1.486343144,0.13718838,0.447541464,TOC.1T.00165
163.549552,0.182609306,0.14189166,1.286962929,0.19810721,0.531131319,TOC.1T.00166
88.29644223,0.508700133,0.314224203,1.618908184,0.10546702,0.392085808,TOC.1T.00164
32.7559644,1.792296582,1.680912207,1.066264243,0.286304209,0.628984076,TOC.1T.00167
67.31497125,-0.272752135,0.218279704,-1.249553351,0.211462753,0.545691134,TOC.1T.00168
2235.834481,0.028867765,0.115770871,0.249352578,0.803088064,0.938544422,TOC.1T.00169
137.6982806,0.247733971,0.171459113,1.444857417,0.14849794,0.464431222,TOC.1T.00170
7.555730869,4.981729949,2.40446204,2.071868828,0.038277676,0.216681402,TOC.1T.00172
1.563965222,0.39265001,2.22119441,0.176774265,0.859685704,NA,TOC.1T.00173
14.46552889,0.953085797,1.425684674,0.668510937,0.503807503,0.794977477,TOC.1T.00174
275.3411237,0.035782641,0.141265266,0.253301059,0.800035578,0.937642594,TOC.1T.00171
0.920974008,-1.499305788,3.713633423,-0.403730153,0.686411164,NA,TOC.1T.00182
1443.534995,0.178625922,0.123373723,1.447844136,0.147660646,0.463556194,TOC.1T.00181
2.74723952,-0.971085198,0.939343849,-1.03379098,0.301233889,NA,TOC.1T.00187
1894.907419,-0.264341629,0.131284694,-2.013499222,0.044062137,0.234215825,TOC.1T.00183
161.5269979,-0.042306949,0.155998743,-0.271200579,0.786236767,0.932523105,TOC.1T.00194
208.993666,-0.195173817,0.160221521,-1.218149819,0.223167045,0.55892061,TOC.1T.00189
217.6543584,0.178201524,0.208243337,0.855736978,0.392143282,0.71959036,TOC.1T.00184
638.1059513,-0.079784112,0.200913257,-0.397107254,0.691288371,0.893392952,TOC.1T.00215
82.56454312,0.782091549,0.184312193,4.243297951,2.20E-05,0.000815994,TOC.1T.00216
53.96060699,0.627732427,0.492714491,1.274028749,0.202653228,0.53627603,TOC.1T.00217
434.6250875,0.174329045,0.14524499,1.200241363,0.230045615,0.567329903,TOC.1T.00214
233.9513627,0.235205024,0.158520401,1.483752386,0.137874623,0.44820551,TOC.1T.00220
610.768586,0.183364909,0.157437409,1.164684492,0.244146728,0.584326834,TOC.1T.00207
0,NA,NA,NA,NA,NA,TOC.1T.00208
0,NA,NA,NA,NA,NA,TOC.1T.00209
1.675612903,-0.588459143,0.763969277,-0.770265455,0.441142444,NA,TOC.1T.00210
2213.965774,0.346608769,0.109194312,3.174238329,0.001502303,0.024294798,TOC.1T.00221
20.26878761,-0.061397509,0.289408794,-0.212148042,0.83199154,0.946625656,TOC.1T.00222
37.03815299,-1.390727966,0.866093761,-1.605747585,0.108329381,0.397366195,TOC.1T.00224
2.11353807,-4.913257671,3.64072518,-1.349527203,0.177167689,NA,TOC.1T.00223
400.5548222,-0.067956002,0.091416539,-0.743366604,0.457259757,0.768670147,TOC.1T.00225
969.6447511,0.122053562,0.12332761,0.989669405,0.322335734,0.662097697,TOC.1T.00226
45.93394276,0.116351596,0.198730128,0.585475375,0.55822812,0.825372686,TOC.1T.00228
565.9026109,-1.645750509,0.691152128,-2.381169705,0.017257759,0.130767861,TOC.1T.00230
0,NA,NA,NA,NA,NA,TOC.1T.00231
19.60415321,1.27816393,0.786975712,1.624146605,0.104344523,0.390767736,TOC.1T.00238
8.046259964,-1.030595274,0.543492196,-1.896246683,0.057927433,0.277937383,TOC.1T.00239
414.2613568,0.725895089,0.182763507,3.971772592,7.13E-05,0.002153721,TOC.1T.00237
2896.446624,-0.432254408,0.156357582,-2.76452477,0.005700578,0.063852202,TOC.1T.00234
0.234772502,-1.913265306,3.708405331,-0.515926695,0.605905609,NA,TOC.1T.00242
43.80756792,0.315542449,0.261962527,1.204532775,0.228383722,0.565200507,TOC.1T.00241
1660.733456,-0.621779959,0.164325597,-3.783828992,0.000154434,0.004098015,TOC.1T.00240
15.02618589,-0.624283404,1.100825875,-0.567104587,0.570643127,0.830883524,TOC.1T.00243
2408.093695,0.043604326,0.08645179,0.504377364,0.613996222,0.853779918,TOC.1T.00244
111.3550514,-0.147343404,0.216536552,-0.680455116,0.496216333,0.79004729,TOC.1T.00245
1797.357951,0.343062562,0.130536792,2.628090958,0.008586555,0.083944876,TOC.1T.00246
347.2085185,0.200108107,0.178372224,1.121856882,0.261923296,0.602919478,TOC.1T.00247
4073.917692,-0.131503507,0.181505996,-0.724513291,0.46875067,0.775466653,TOC.1T.00248
0.336397347,0.374860034,2.291888642,0.163559445,0.870077973,NA,TOC.1T.00250
0.562323378,-1.949602032,2.647787019,-0.736313766,0.46153977,NA,TOC.1T.00256
65.87944202,-0.767674449,0.382835066,-2.00523546,0.044937881,0.237363619,TOC.1T.00257
26.51994457,-0.929872472,0.584317694,-1.591381676,0.111523706,0.402568971,TOC.1T.00258
15.06411131,-0.334722412,0.40086867,-0.834992697,0.40372182,0.727678655,TOC.1T.00260
7375.2144,-0.139108929,0.164110448,-0.84765431,0.396630519,0.723280141,TOC.1T.00249
0.24036478,-0.183241773,3.724945049,-0.049193148,0.960765372,NA,TOC.1T.00263
91.77438139,0.708172072,0.353968519,2.000663998,0.045428612,0.238915962,TOC.1T.00259
243.5296954,-0.215812631,0.155892742,-1.384366122,0.166246377,0.489355836,TOC.1T.00264
235.1406826,0.169320686,0.214829343,0.788163682,0.43060097,0.748097866,TOC.1T.00262
4.274334961,0.292663482,0.69821286,0.41916083,0.675098597,NA,TOC.1T.00266
9.533285367,2.213333388,1.902358613,1.163468009,NA,NA,TOC.1T.00265
145.0386753,0.02405807,0.164557897,0.146198207,0.883764921,0.965111931,TOC.1T.00275
14.12857404,2.254503392,1.663043796,1.35564884,NA,NA,TOC.1T.00276
12.53980471,-0.885326907,1.162389187,-0.761644135,0.446272426,0.760874425,TOC.1T.00283
398.0272644,-0.106821947,0.183064476,-0.583520895,0.559542695,0.825869168,TOC.1T.00267
691.5844884,-0.600854546,0.491815305,-1.221707702,0.221818183,0.557526099,TOC.1T.00284
0,NA,NA,NA,NA,NA,TOC.1T.00287
138.305365,0.537638616,0.178465934,3.012555978,0.002590577,0.036165314,TOC.1T.00289
0,NA,NA,NA,NA,NA,TOC.1T.00288
112.1327492,0.029496631,0.225023571,0.131082405,0.89571012,0.969585362,TOC.1T.00291
